# LAMMPS data file written by OVITO Basic 3.8.0

192 atoms
3 atom types

-1.42866539 10.00065773 xlo xhi
-2.4745210425 7.4235631275 ylo yhi
0.0 14.06156851 zlo zhi
-5.71466156 0.0 0.0 xy xz yz

Atoms  # atomic

1 3 -1.42866539 -2.4745210425 0.0
2 3 1.4286653638e-08 -1.6496807032 4.6871894565
3 3 -1.4286654043 -0.8248403392 9.3743790535
4 28 -1.4286654043 -0.8248403392 2.3435947985
5 28 -1.42866539 -2.4745210425 7.030784255
6 28 1.4286653638e-08 -1.6496807032 11.7179737115
7 8 1.4286653638e-08 -1.6496807032 1.2985764306
8 8 -1.42866539 -2.4745210425 3.3886130258
9 8 -1.4286654043 -0.8248403392 5.9857660277
10 8 1.4286653638e-08 -1.6496807032 8.0758024823
11 8 -1.42866539 -2.4745210425 10.6729554842
12 8 -1.4286654043 -0.8248403392 12.7629920794
13 3 -2.85733078 0.0 0.0
14 3 -1.4286653757 0.8248403392 4.6871894565
15 3 -2.8573307943 1.6496807032 9.3743790535
16 28 -2.8573307943 1.6496807032 2.3435947985
17 28 -2.85733078 0.0 7.030784255
18 28 -1.4286653757 0.8248403392 11.7179737115
19 8 -1.4286653757 0.8248403392 1.2985764306
20 8 -2.85733078 0.0 3.3886130258
21 8 -2.8573307943 1.6496807032 5.9857660277
22 8 -1.4286653757 0.8248403392 8.0758024823
23 8 -2.85733078 0.0 10.6729554842
24 8 -2.8573307943 1.6496807032 12.7629920794
25 3 -4.28599617 2.4745210425 0.0
26 3 -2.8573307657 3.2993613817 4.6871894565
27 3 -4.2859961843 4.1242017457 9.3743790535
28 28 -4.2859961843 4.1242017457 2.3435947985
29 28 -4.28599617 2.4745210425 7.030784255
30 28 -2.8573307657 3.2993613817 11.7179737115
31 8 -2.8573307657 3.2993613817 1.2985764306
32 8 -4.28599617 2.4745210425 3.3886130258
33 8 -4.2859961843 4.1242017457 5.9857660277
34 8 -2.8573307657 3.2993613817 8.0758024823
35 8 -4.28599617 2.4745210425 10.6729554842
36 8 -4.2859961843 4.1242017457 12.7629920794
37 3 -5.71466156 4.949042085 0.0
38 3 -4.2859961557 5.7738824242 4.6871894565
39 3 -5.7146615743 6.5987227882 9.3743790535
40 28 -5.7146615743 6.5987227882 2.3435947985
41 28 -5.71466156 4.949042085 7.030784255
42 28 -4.2859961557 5.7738824242 11.7179737115
43 8 -4.2859961557 5.7738824242 1.2985764306
44 8 -5.71466156 4.949042085 3.3886130258
45 8 -5.7146615743 6.5987227882 5.9857660277
46 8 -4.2859961557 5.7738824242 8.0758024823
47 8 -5.71466156 4.949042085 10.6729554842
48 8 -5.7146615743 6.5987227882 12.7629920794
49 3 1.42866539 -2.4745210425 0.0
50 3 2.8573307943 -1.6496807032 4.6871894565
51 3 1.4286653757 -0.8248403392 9.3743790535
52 28 1.4286653757 -0.8248403392 2.3435947985
53 28 1.42866539 -2.4745210425 7.030784255
54 28 2.8573307943 -1.6496807032 11.7179737115
55 8 2.8573307943 -1.6496807032 1.2985764306
56 8 1.42866539 -2.4745210425 3.3886130258
57 8 1.4286653757 -0.8248403392 5.9857660277
58 8 2.8573307943 -1.6496807032 8.0758024823
59 8 1.42866539 -2.4745210425 10.6729554842
60 8 1.4286653757 -0.8248403392 12.7629920794
61 3 0.0 0.0 0.0
