#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 990000      1.12e-01      4.07e-04      5.18e-02    3.5e-06
1000000      1.12e-01      4.39e-04      5.28e-02    3.4e-06
1010000      1.50e-01      6.90e-04      7.20e-02    3.2e-06
1020000      1.24e-01      6.98e-04      5.99e-02    3.0e-06
1030000      1.14e-01      5.02e-04      5.69e-02    2.9e-06
1040000      8.28e-02      1.56e-04      4.27e-02    2.7e-06
1050000      8.02e-02      2.88e-04      4.18e-02    2.6e-06
1060000      1.23e-01      4.01e-04      6.55e-02    2.5e-06
1070000      1.06e-01      4.71e-04      5.68e-02    2.4e-06
1080000      1.32e-01      1.05e-03      7.08e-02    2.1e-06
1090000      1.27e-01      5.29e-04      7.21e-02    2.0e-06
1100000      7.93e-02      4.14e-04      4.55e-02    1.9e-06
1110000      1.29e-01      9.88e-04      7.28e-02    1.8e-06
1120000      1.09e-01      7.58e-04      6.35e-02    1.7e-06
1130000      1.09e-01      5.25e-04      6.57e-02    1.6e-06
1140000      8.00e-02      2.80e-04      4.95e-02    1.6e-06
1150000      1.04e-01      5.66e-04      6.45e-02    1.5e-06
1160000      9.43e-02      9.19e-04      5.62e-02    1.4e-06
1170000      7.46e-02      2.35e-04      4.91e-02    1.3e-06
1180000      7.11e-02      2.95e-04      4.72e-02    1.2e-06
1190000      1.23e-01      3.12e-04      8.38e-02    1.1e-06
1200000      7.50e-02      4.25e-04      5.06e-02    1.1e-06
1210000      5.42e-02      1.93e-04      3.77e-02    1.0e-06
1220000      5.86e-02      3.27e-04      4.06e-02    9.8e-07
1230000      7.51e-02      6.56e-04      5.06e-02    9.3e-07
1240000      6.31e-02      5.39e-04      4.33e-02    8.9e-07
1250000      9.49e-02      5.88e-04      6.77e-02    8.4e-07
1260000      8.12e-02      8.60e-04      5.57e-02    7.6e-07
1270000      9.76e-02      8.18e-04      6.99e-02    7.2e-07
1280000      6.27e-02      3.81e-04      4.68e-02    6.9e-07
1290000      5.68e-02      2.27e-04      4.37e-02    6.5e-07
1300000      6.43e-02      4.01e-04      4.90e-02    6.2e-07
1310000      5.87e-02      3.11e-04      4.56e-02    5.9e-07
1320000      9.98e-02      9.70e-04      7.32e-02    5.6e-07
1330000      6.06e-02      4.47e-04      4.69e-02    5.3e-07
1340000      5.74e-02      2.06e-04      4.63e-02    5.1e-07
1350000      5.97e-02      2.22e-04      4.89e-02    4.6e-07
1360000      6.67e-02      4.23e-04      5.39e-02    4.3e-07
1370000      5.00e-02      1.86e-04      4.16e-02    4.1e-07
1380000      6.52e-02      4.80e-04      5.29e-02    3.9e-07
1390000      7.00e-02      6.79e-04      5.52e-02    3.7e-07
1400000      7.26e-02      7.92e-04      5.64e-02    3.5e-07
1410000      5.96e-02      2.73e-04      5.08e-02    3.4e-07
1420000      8.20e-02      7.88e-04      6.62e-02    3.2e-07
1430000      9.05e-02      7.28e-04      7.48e-02    3.0e-07
1440000      5.31e-02      2.46e-04      4.63e-02    2.7e-07
1450000      5.89e-02      4.65e-04      4.99e-02    2.6e-07
1460000      6.11e-02      6.05e-04      5.04e-02    2.5e-07
1470000      5.15e-02      4.33e-04      4.38e-02    2.3e-07
1480000      5.43e-02      2.71e-04      4.81e-02    2.2e-07
1490000      6.51e-02      5.34e-04      5.60e-02    2.1e-07
1500000      8.07e-02      5.29e-04      7.11e-02    2.0e-07
1510000      4.91e-02      3.45e-04      4.33e-02    1.9e-07
1520000      5.97e-02      4.49e-04      5.25e-02    1.8e-07
1530000      5.40e-02      3.97e-04      4.80e-02    1.6e-07
1540000      4.44e-02      1.31e-04      4.10e-02    1.6e-07
1550000      7.10e-02      2.47e-04      6.56e-02    1.5e-07
1560000      6.36e-02      5.57e-04      5.59e-02    1.4e-07
1570000      5.10e-02      2.73e-04      4.68e-02    1.3e-07
1580000      5.27e-02      5.18e-04      4.58e-02    1.3e-07
1590000      6.92e-02      2.42e-04      6.48e-02    1.2e-07
1600000      6.97e-02      5.62e-04      6.27e-02    1.1e-07
1610000      7.96e-02      6.31e-04      7.15e-02    1.1e-07
1620000      8.30e-02      8.12e-04      7.26e-02    9.8e-08
1630000      4.48e-02      2.61e-04      4.17e-02    9.3e-08
1640000      5.23e-02      1.75e-04      4.97e-02    8.8e-08
1650000      5.96e-02      5.89e-04      5.27e-02    8.4e-08
1660000      4.65e-02      1.09e-04      4.45e-02    8.0e-08
1670000      8.45e-02      5.09e-04      7.90e-02    7.6e-08
1680000      4.62e-02      3.23e-04      4.29e-02    7.2e-08
1690000      4.27e-02      2.24e-04      4.04e-02    6.8e-08
1700000      5.69e-02      3.17e-04      5.38e-02    6.5e-08
1710000      5.80e-02      1.29e-04      5.62e-02    5.9e-08
1720000      5.49e-02      5.03e-04      4.99e-02    5.6e-08
1730000      5.51e-02      6.07e-04      4.81e-02    5.3e-08
1740000      6.54e-02      5.86e-04      5.98e-02    5.0e-08
1750000      3.86e-02      9.10e-05      3.76e-02    4.8e-08
1760000      7.15e-02      4.19e-04      6.79e-02    4.5e-08
1770000      8.07e-02      9.83e-04      6.88e-02    4.3e-08
1780000      8.50e-02      6.10e-04      7.97e-02    4.1e-08
1790000      4.43e-02      2.12e-04      4.27e-02    3.9e-08
1800000      5.16e-02      2.50e-04      4.97e-02    3.5e-08
