#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  95700      3.76e-01      3.23e-04      3.94e-02    9.0e-05
  95800      4.02e-01      2.25e-04      4.22e-02    9.0e-05
  95900      4.30e-01      1.94e-04      4.51e-02    9.0e-05
  96000      3.82e-01      6.31e-05      4.11e-02    8.5e-05
  96100      2.69e-01      1.69e-03      2.89e-02    8.5e-05
  96200      4.26e-01      4.46e-04      4.59e-02    8.5e-05
  96300      4.69e-01      2.63e-03      4.94e-02    8.5e-05
  96400      3.76e-01      5.34e-04      4.05e-02    8.5e-05
  96500      3.71e-01      2.76e-04      3.99e-02    8.5e-05
  96600      4.14e-01      1.84e-03      4.40e-02    8.5e-05
  96700      3.39e-01      6.65e-04      3.64e-02    8.5e-05
  96800      3.76e-01      3.79e-04      4.05e-02    8.5e-05
  96900      4.47e-01      3.12e-04      4.81e-02    8.5e-05
  97000      3.90e-01      9.02e-04      4.19e-02    8.5e-05
  97100      3.43e-01      2.11e-03      3.60e-02    8.5e-05
  97200      4.06e-01      2.62e-04      4.37e-02    8.5e-05
  97300      3.76e-01      6.56e-04      4.04e-02    8.5e-05
  97400      4.16e-01      6.18e-04      4.47e-02    8.5e-05
  97500      4.38e-01      8.61e-04      4.71e-02    8.5e-05
  97600      3.95e-01      5.02e-04      4.25e-02    8.5e-05
  97700      4.30e-01      4.03e-03      4.34e-02    8.5e-05
  97800      3.65e-01      4.97e-04      3.93e-02    8.5e-05
  97900      3.94e-01      9.63e-04      4.23e-02    8.5e-05
  98000      4.18e-01      1.04e-04      4.62e-02    8.1e-05
  98100      3.60e-01      6.08e-04      3.97e-02    8.1e-05
  98200      3.58e-01      1.91e-04      3.96e-02    8.1e-05
  98300      3.98e-01      1.00e-03      4.38e-02    8.1e-05
  98400      3.88e-01      1.81e-03      4.22e-02    8.1e-05
  98500      4.71e-01      2.76e-04      5.20e-02    8.1e-05
  98600      4.22e-01      1.35e-03      4.62e-02    8.1e-05
  98700      3.99e-01      8.36e-04      4.40e-02    8.1e-05
  98800      4.41e-01      7.68e-04      4.86e-02    8.1e-05
  98900      3.95e-01      2.25e-03      4.26e-02    8.1e-05
  99000      3.48e-01      3.15e-04      3.85e-02    8.1e-05
  99100      4.56e-01      1.38e-03      5.00e-02    8.1e-05
  99200      4.12e-01      7.01e-04      4.54e-02    8.1e-05
  99300      3.41e-01      9.69e-05      3.77e-02    8.1e-05
  99400      3.30e-01      8.66e-04      3.62e-02    8.1e-05
  99500      4.23e-01      1.11e-03      4.65e-02    8.1e-05
  99600      4.26e-01      2.44e-03      4.59e-02    8.1e-05
  99700      4.18e-01      2.69e-04      4.61e-02    8.1e-05
  99800      4.18e-01      1.98e-03      4.57e-02    8.1e-05
  99900      4.04e-01      3.76e-03      4.18e-02    8.1e-05
 100000      3.86e-01      2.19e-04      4.37e-02    7.7e-05
 100100      4.11e-01      2.10e-03      4.57e-02    7.7e-05
 100200      3.65e-01      6.18e-04      4.13e-02    7.7e-05
 100300      4.11e-01      2.61e-03      4.52e-02    7.7e-05
 100400      3.93e-01      3.10e-03      4.25e-02    7.7e-05
 100500      7.23e-01      1.14e-02      8.16e-02    7.7e-05
 100600      4.06e-01      1.41e-03      4.56e-02    7.7e-05
 100700      3.52e-01      2.70e-04      3.98e-02    7.7e-05
 100800      3.56e-01      2.52e-04      4.04e-02    7.7e-05
 100900      4.26e-01      1.86e-03      4.77e-02    7.7e-05
 101000      4.32e-01      3.13e-04      4.89e-02    7.7e-05
 101100      3.82e-01      6.73e-04      4.32e-02    7.7e-05
 101200      3.87e-01      7.43e-04      4.38e-02    7.7e-05
 101300      3.59e-01      2.90e-04      4.07e-02    7.7e-05
 101400      4.32e-01      2.89e-04      4.89e-02    7.7e-05
 101500      3.88e-01      1.69e-03      4.36e-02    7.7e-05
 101600      3.82e-01      8.26e-04      4.32e-02    7.7e-05
 101700      3.67e-01      7.95e-04      4.14e-02    7.7e-05
 101800      6.61e-01      1.18e-02      7.44e-02    7.7e-05
 101900      3.55e-01      1.58e-03      3.96e-02    7.7e-05
 102000      4.14e-01      1.38e-03      4.77e-02    7.3e-05
 102100      3.88e-01      1.10e-03      4.48e-02    7.3e-05
 102200      3.52e-01      3.45e-03      3.80e-02    7.3e-05
 102300      3.36e-01      3.22e-04      3.90e-02    7.3e-05
 102400      3.73e-01      9.13e-03      4.29e-02    7.3e-05
 102500      4.15e-01      7.74e-04      4.81e-02    7.3e-05
 102600      3.92e-01      3.09e-04      4.55e-02    7.3e-05
 102700      3.98e-01      2.56e-03      4.62e-02    7.3e-05
 102800      3.42e-01      4.01e-04      3.98e-02    7.3e-05
 102900      3.23e-01      9.01e-04      3.74e-02    7.3e-05
 103000      4.21e-01      2.05e-04      4.89e-02    7.3e-05
 103100      4.48e-01      1.06e-03      5.18e-02    7.3e-05
 103200      3.72e-01      5.97e-04      4.31e-02    7.3e-05
 103300      3.58e-01      6.64e-04      4.15e-02    7.3e-05
 103400      3.79e-01      1.82e-03      4.34e-02    7.3e-05
 103500      3.42e-01      1.52e-03      3.91e-02    7.3e-05
 103600      4.11e-01      4.90e-03      4.28e-02    7.3e-05
 103700      3.99e-01      6.79e-04      4.63e-02    7.3e-05
 103800      4.10e-01      1.65e-04      4.77e-02    7.3e-05
 103900      3.79e-01      1.91e-03      4.32e-02    7.3e-05
 104000      4.79e-01      5.49e-03      5.16e-02    6.9e-05
 104100      3.49e-01      4.32e-05      4.16e-02    6.9e-05
 104200      3.67e-01      1.17e-03      4.34e-02    6.9e-05
 104300      3.45e-01      1.47e-04      4.11e-02    6.9e-05
 104400      3.95e-01      1.12e-03      4.68e-02    6.9e-05
 104500      3.94e-01      4.94e-04      4.69e-02    6.9e-05
 104600      4.17e-01      3.37e-03      4.74e-02    6.9e-05
 104700      3.28e-01      4.76e-04      3.91e-02    6.9e-05
 104800      3.91e-01      2.18e-03      4.56e-02    6.9e-05
 104900      4.82e-01      1.64e-03      5.72e-02    6.9e-05
 105000      4.02e-01      5.03e-04      4.78e-02    6.9e-05
 105100      3.44e-01      2.81e-04      4.09e-02    6.9e-05
 105200      4.05e-01      3.12e-03      4.62e-02    6.9e-05
 105300      4.35e-01      1.76e-03      5.12e-02    6.9e-05
 105400      4.33e-01      7.71e-04      5.15e-02    6.9e-05
 105500      3.21e-01      1.77e-03      3.74e-02    6.9e-05
 105600      3.41e-01      5.72e-04      4.06e-02    6.9e-05
 105700      3.10e-01      1.36e-03      3.64e-02    6.9e-05
 105800      3.96e-01      8.02e-04      4.71e-02    6.9e-05
 105900      3.19e-01      6.31e-04      3.79e-02    6.9e-05
 106000      4.43e-01      3.58e-03      5.16e-02    6.6e-05
 106100      3.10e-01      4.57e-04      3.79e-02    6.6e-05
 106200      3.76e-01      5.71e-04      4.59e-02    6.6e-05
 106300      3.48e-01      7.99e-04      4.24e-02    6.6e-05
 106400      3.68e-01      8.18e-04      4.48e-02    6.6e-05
 106500      3.45e-01      3.40e-03      4.02e-02    6.6e-05
 106600      4.55e-01      1.39e-03      5.52e-02    6.6e-05
 106700      3.69e-01      1.17e-03      4.48e-02    6.6e-05
 106800      3.24e-01      2.20e-04      3.96e-02    6.6e-05
 106900      3.17e-01      9.01e-04      3.86e-02    6.6e-05
 107000      3.79e-01      1.94e-03      4.54e-02    6.6e-05
 107100      3.97e-01      2.90e-04      4.85e-02    6.6e-05
 107200      3.47e-01      2.87e-04      4.24e-02    6.6e-05
 107300      3.35e-01      3.11e-04      4.10e-02    6.6e-05
 107400      4.03e-01      4.20e-04      4.93e-02    6.6e-05
 107500      3.30e-01      3.40e-02      3.14e-02    6.6e-05
 107600      3.40e-01      6.10e-04      4.15e-02    6.6e-05
 107700      4.11e-01      1.34e-04      5.03e-02    6.6e-05
 107800      3.40e-01      1.42e-03      4.11e-02    6.6e-05
 107900      3.58e-01      7.15e-04      4.36e-02    6.6e-05
 108000      3.02e-01      8.89e-04      3.76e-02    6.3e-05
 108100      3.75e-01      1.88e-03      4.61e-02    6.3e-05
 108200      3.82e-01      2.44e-04      4.79e-02    6.3e-05
 108300      3.86e-01      8.77e-04      4.82e-02    6.3e-05
 108400      3.12e-01      3.82e-04      3.91e-02    6.3e-05
 108500      4.77e-01      6.05e-05      5.98e-02    6.3e-05
 108600      3.46e-01      6.94e-04      4.33e-02    6.3e-05
 108700      3.96e-01      1.00e-03      4.95e-02    6.3e-05
 108800      3.86e-01      1.53e-03      4.78e-02    6.3e-05
 108900      2.90e-01      7.04e-04      3.62e-02    6.3e-05
 109000      3.56e-01      6.07e-04      4.45e-02    6.3e-05
 109100      3.67e-01      2.32e-04      4.60e-02    6.3e-05
 109200      4.51e-01      2.81e-03      5.50e-02    6.3e-05
 109300      3.15e-01      2.28e-04      3.95e-02    6.3e-05
 109400      3.26e-01      5.77e-04      4.08e-02    6.3e-05
 109500      3.35e-01      5.96e-04      4.20e-02    6.3e-05
 109600      3.37e-01      8.29e-04      4.21e-02    6.3e-05
 109700      4.26e-01      4.55e-03      4.89e-02    6.3e-05
 109800      3.81e-01      4.87e-04      4.78e-02    6.3e-05
 109900      2.99e-01      1.85e-04      3.75e-02    6.3e-05
 110000      2.79e-01      5.58e-04      3.57e-02    6.0e-05
 110100      3.37e-01      4.56e-04      4.33e-02    6.0e-05
 110200      3.42e-01      1.22e-03      4.36e-02    6.0e-05
 110300      3.38e-01      1.09e-03      4.31e-02    6.0e-05
 110400      4.09e-01      1.91e-04      5.26e-02    6.0e-05
 110500      3.25e-01      1.71e-03      4.13e-02    6.0e-05
 110600      3.80e-01      4.96e-04      4.88e-02    6.0e-05
 110700      3.48e-01      4.98e-03      4.46e-02    6.0e-05
 110800      3.55e-01      1.42e-03      4.51e-02    6.0e-05
 110900      3.37e-01      3.77e-04      4.33e-02    6.0e-05
 111000      2.44e-01      1.95e-02      2.73e-02    6.0e-05
 111100      4.42e-01      1.77e-04      5.68e-02    6.0e-05
 111200      3.82e-01      1.49e-03      4.86e-02    6.0e-05
 111300      3.73e-01      2.27e-04      4.80e-02    6.0e-05
 111400      2.88e-01      1.02e-03      3.67e-02    6.0e-05
 111500      4.89e-01      1.14e-02      6.23e-02    6.0e-05
 111600      4.38e-01      1.59e-04      5.63e-02    6.0e-05
 111700      3.46e-01      3.23e-04      4.44e-02    6.0e-05
 111800      3.30e-01      3.13e-04      4.24e-02    6.0e-05
 111900      4.20e-01      4.65e-04      5.39e-02    6.0e-05
 112000      2.73e-01      6.69e-04      3.59e-02    5.7e-05
 112100      3.05e-01      1.16e-03      3.98e-02    5.7e-05
 112200      3.81e-01      6.05e-04      5.02e-02    5.7e-05
 112300      2.99e-01      9.89e-04      3.92e-02    5.7e-05
 112400      3.27e-01      2.17e-03      4.22e-02    5.7e-05
 112500      3.76e-01      3.68e-03      4.61e-02    5.7e-05
 112600      3.31e-01      2.04e-03      4.24e-02    5.7e-05
 112700      3.17e-01      2.59e-04      4.18e-02    5.7e-05
 112800      3.09e-01      4.52e-04      4.06e-02    5.7e-05
 112900      3.00e-01      2.14e-04      3.95e-02    5.7e-05
 113000      3.21e-01      1.00e-03      4.22e-02    5.7e-05
 113100      3.23e-01      6.37e-05      4.26e-02    5.7e-05
 113200      3.82e-01      5.55e-04      5.03e-02    5.7e-05
 113300      4.06e-01      5.93e-04      5.35e-02    5.7e-05
 113400      3.20e-01      2.74e-04      4.22e-02    5.7e-05
 113500      3.69e-01      5.29e-04      4.85e-02    5.7e-05
 113600      3.85e-01      5.49e-04      5.07e-02    5.7e-05
 113700      3.32e-01      6.86e-04      4.37e-02    5.7e-05
 113800      3.15e-01      9.08e-04      4.13e-02    5.7e-05
 113900      3.00e-01      9.33e-04      3.93e-02    5.7e-05
 114000      3.63e-01      8.29e-04      4.89e-02    5.4e-05
 114100      3.27e-01      2.59e-04      4.42e-02    5.4e-05
 114200      2.77e-01      1.51e-03      3.66e-02    5.4e-05
 114300      2.96e-01      9.54e-04      3.97e-02    5.4e-05
 114400      2.91e-01      3.47e-04      3.92e-02    5.4e-05
 114500      2.68e-01      8.39e-04      3.59e-02    5.4e-05
 114600      3.08e-01      3.31e-04      4.16e-02    5.4e-05
 114700      3.15e-01      5.18e-03      3.32e-02    5.4e-05
 114800      3.49e-01      2.43e-03      4.55e-02    5.4e-05
 114900      3.49e-01      1.40e-03      4.67e-02    5.4e-05
 115000      2.43e-01      1.03e-02      3.17e-02    5.4e-05
 115100      3.06e-01      6.06e-04      4.13e-02    5.4e-05
 115200      2.96e-01      1.15e-03      3.96e-02    5.4e-05
 115300      3.13e-01      1.61e-03      4.14e-02    5.4e-05
 115400      3.25e-01      2.81e-04      4.39e-02    5.4e-05
 115500      2.50e-01      5.01e-03      3.36e-02    5.4e-05
 115600      3.39e-01      2.06e-04      4.58e-02    5.4e-05
 115700      3.38e-01      1.94e-04      4.57e-02    5.4e-05
 115800      3.20e-01      6.63e-04      4.32e-02    5.4e-05
 115900      3.16e-01      3.87e-05      4.27e-02    5.4e-05
 116000      3.61e-01      1.15e-03      4.97e-02    5.1e-05
 116100      3.17e-01      2.77e-03      4.15e-02    5.1e-05
 116200      2.72e-01      3.84e-04      3.77e-02    5.1e-05
 116300      2.75e-01      1.23e-03      3.76e-02    5.1e-05
 116400      2.72e-01      1.20e-03      3.73e-02    5.1e-05
 116500      3.36e-01      7.21e-04      4.65e-02    5.1e-05
 116600      2.71e-01      3.93e-04      3.75e-02    5.1e-05
 116700      3.88e-01      1.84e-03      5.28e-02    5.1e-05
 116800      4.06e-01      9.93e-04      5.60e-02    5.1e-05
 116900      2.89e-01      8.61e-04      3.98e-02    5.1e-05
 117000      3.00e-01      2.83e-04      4.16e-02    5.1e-05
 117100      3.51e-01      2.44e-04      4.86e-02    5.1e-05
 117200      3.10e-01      8.43e-04      4.28e-02    5.1e-05
 117300      3.01e-01      3.40e-04      4.17e-02    5.1e-05
 117400      2.86e-01      6.62e-04      3.95e-02    5.1e-05
 117500      2.44e-01      5.93e-03      3.34e-02    5.1e-05
 117600      2.86e-01      8.04e-04      3.94e-02    5.1e-05
 117700      2.79e-01      1.14e-04      3.87e-02    5.1e-05
 117800      4.12e-01      4.82e-04      5.71e-02    5.1e-05
 117900      3.62e-01      7.81e-04      5.00e-02    5.1e-05
 118000      2.78e-01      2.63e-04      3.95e-02    4.9e-05
 118100      2.73e-01      9.15e-04      3.85e-02    4.9e-05
 118200      2.97e-01      1.82e-04      4.22e-02    4.9e-05
 118300      3.82e-01      6.74e-03      5.41e-02    4.9e-05
 118400      3.37e-01      2.61e-04      4.79e-02    4.9e-05
 118500      3.65e-01      7.15e-04      5.18e-02    4.9e-05
 118600      3.30e-01      4.05e-03      4.35e-02    4.9e-05
 118700      3.03e-01      1.31e-03      4.27e-02    4.9e-05
 118800      3.72e-01      1.36e-03      5.24e-02    4.9e-05
 118900      3.01e-01      6.47e-04      4.26e-02    4.9e-05
 119000      4.47e-01      1.09e-02      6.29e-02    4.9e-05
 119100      2.75e-01      4.56e-03      3.89e-02    4.9e-05
 119200      2.77e-01      3.27e-03      3.93e-02    4.9e-05
 119300      1.70e-01      3.88e-03      2.40e-02    4.9e-05
 119400      2.98e-01      1.89e-03      4.11e-02    4.9e-05
 119500      2.27e-01      1.27e-02      3.03e-02    4.9e-05
 119600      2.81e-01      2.03e-04      3.99e-02    4.9e-05
 119700      3.23e-01      4.39e-04      4.58e-02    4.9e-05
 119800      3.29e-01      8.73e-04      4.65e-02    4.9e-05
 119900      3.24e-01      1.28e-03      4.55e-02    4.9e-05
 120000      2.77e-01      2.64e-04      4.03e-02    4.6e-05
 120100      3.29e-01      4.18e-04      4.79e-02    4.6e-05
 120200      2.97e-01      1.75e-04      4.33e-02    4.6e-05
 120300      2.94e-01      1.95e-04      4.29e-02    4.6e-05
 120400      3.33e-01      3.75e-04      4.85e-02    4.6e-05
 120500      2.81e-01      1.52e-03      4.01e-02    4.6e-05
 120600      3.32e-01      5.50e-04      4.83e-02    4.6e-05
 120700      2.55e-01      4.51e-04      3.70e-02    4.6e-05
 120800      2.81e-01      5.07e-04      4.08e-02    4.6e-05
 120900      2.42e-01      1.22e-03      3.46e-02    4.6e-05
 121000      2.98e-01      1.51e-03      4.29e-02    4.6e-05
 121100      3.07e-01      2.56e-04      4.47e-02    4.6e-05
 121200      2.98e-01      1.36e-03      4.27e-02    4.6e-05
 121300      2.96e-01      6.07e-04      4.31e-02    4.6e-05
 121400      3.02e-01      4.71e-04      4.39e-02    4.6e-05
 121500      2.65e-01      8.15e-04      3.84e-02    4.6e-05
 121600      2.90e-01      2.93e-04      4.22e-02    4.6e-05
 121700      2.39e-01      6.48e-05      3.49e-02    4.6e-05
 121800      3.30e-01      9.54e-04      4.78e-02    4.6e-05
 121900      2.73e-01      4.74e-04      3.98e-02    4.6e-05
 122000      3.03e-01      3.02e-04      4.52e-02    4.4e-05
 122100      3.15e-01      1.36e-03      4.64e-02    4.4e-05
 122200      1.95e-01      6.86e-03      2.85e-02    4.4e-05
 122300      3.04e-01      8.27e-04      4.53e-02    4.4e-05
 122400      2.70e-01      9.62e-05      4.04e-02    4.4e-05
 122500      3.41e-01      1.77e-03      5.00e-02    4.4e-05
 122600      3.07e-01      6.49e-04      4.58e-02    4.4e-05
 122700      2.39e-01      2.05e-04      3.57e-02    4.4e-05
 122800      2.58e-01      8.15e-04      3.84e-02    4.4e-05
 122900      2.58e-01      5.00e-04      3.85e-02    4.4e-05
 123000      3.04e-01      1.55e-03      4.46e-02    4.4e-05
 123100      2.74e-01      3.31e-04      4.09e-02    4.4e-05
 123200      2.65e-01      3.23e-04      3.96e-02    4.4e-05
 123300      2.65e-01      1.64e-04      3.96e-02    4.4e-05
 123400      2.92e-01      6.72e-04      4.35e-02    4.4e-05
 123500      3.04e-01      7.34e-04      4.52e-02    4.4e-05
 123600      2.91e-01      3.00e-04      4.35e-02    4.4e-05
 123700      2.81e-01      3.41e-04      4.20e-02    4.4e-05
 123800      3.13e-01      1.99e-03      4.54e-02    4.4e-05
 123900      3.47e-01      3.10e-03      4.87e-02    4.4e-05
 124000      3.14e-01      4.12e-04      4.80e-02    4.2e-05
 124100      2.77e-01      2.64e-04      4.24e-02    4.2e-05
 124200      3.13e-01      5.48e-03      4.03e-02    4.2e-05
 124300      3.11e-01      5.76e-03      3.91e-02    4.2e-05
 124400      3.81e-01      8.04e-04      5.81e-02    4.2e-05
 124500      2.83e-01      1.05e-03      4.30e-02    4.2e-05
 124600      2.89e-01      9.84e-04      4.39e-02    4.2e-05
 124700      2.82e-01      5.28e-04      4.31e-02    4.2e-05
 124800      2.74e-01      1.83e-04      4.20e-02    4.2e-05
 124900      3.02e-01      1.24e-03      4.57e-02    4.2e-05
 125000      3.61e-01      3.13e-04      5.53e-02    4.2e-05
 125100      3.26e-01      3.52e-04      4.99e-02    4.2e-05
 125200      2.89e-01      1.06e-03      4.39e-02    4.2e-05
 125300      5.58e-01      2.79e-03      8.55e-02    4.2e-05
 125400      2.80e-01      9.48e-04      4.26e-02    4.2e-05
 125500      2.95e-01      2.30e-04      4.51e-02    4.2e-05
 125600      3.36e-01      1.33e-03      5.09e-02    4.2e-05
 125700      3.01e-01      3.60e-04      4.61e-02    4.2e-05
 125800      4.21e-01      5.16e-02      4.19e-02    4.2e-05
 125900      2.44e-01      3.55e-03      3.73e-02    4.2e-05
 126000      2.53e-01      2.49e-04      3.97e-02    4.0e-05
 126100      2.89e-01      3.75e-04      4.54e-02    4.0e-05
 126200      2.82e-01      5.40e-04      4.42e-02    4.0e-05
 126300      2.58e-01      1.07e-03      4.02e-02    4.0e-05
 126400      3.07e-01      1.40e-03      4.75e-02    4.0e-05
 126500      2.61e-01      3.91e-04      4.10e-02    4.0e-05
 126600      3.01e-01      9.05e-05      4.74e-02    4.0e-05
 126700      3.02e-01      1.05e-02      4.64e-02    4.0e-05
 126800      2.68e-01      7.25e-04      4.19e-02    4.0e-05
 126900      2.77e-01      3.63e-04      4.35e-02    4.0e-05
 127000      2.48e-01      3.89e-04      3.89e-02    4.0e-05
 127100      3.14e-01      2.36e-04      4.93e-02    4.0e-05
 127200      2.56e-01      8.39e-05      4.02e-02    4.0e-05
 127300      2.86e-01      4.63e-04      4.49e-02    4.0e-05
 127400      2.46e-01      4.32e-04      3.86e-02    4.0e-05
 127500      3.17e-01      3.99e-04      4.97e-02    4.0e-05
 127600      2.54e-01      1.47e-04      3.99e-02    4.0e-05
 127700      2.79e-01      2.24e-03      4.18e-02    4.0e-05
 127800      3.02e-01      9.41e-04      4.71e-02    4.0e-05
 127900      3.06e-01      3.23e-03      4.40e-02    4.0e-05
 128000      2.40e-01      1.20e-03      3.79e-02    3.8e-05
 128100      2.77e-01      7.00e-04      4.44e-02    3.8e-05
 128200      2.59e-01      7.58e-04      4.14e-02    3.8e-05
 128300      2.85e-01      2.34e-03      4.35e-02    3.8e-05
 128400      2.80e-01      1.68e-03      4.39e-02    3.8e-05
 128500      3.33e-01      1.59e-03      5.27e-02    3.8e-05
 128600      2.45e-01      1.71e-04      3.95e-02    3.8e-05
 128700      2.75e-01      2.46e-03      4.17e-02    3.8e-05
 128800      2.76e-01      9.66e-04      4.40e-02    3.8e-05
 128900      2.90e-01      5.53e-04      4.67e-02    3.8e-05
 129000      2.77e-01      1.96e-03      4.30e-02    3.8e-05
 129100      3.03e-01      1.53e-04      4.89e-02    3.8e-05
 129200      2.84e-01      1.85e-03      4.47e-02    3.8e-05
 129300      2.90e-01      7.38e-04      4.65e-02    3.8e-05
 129400      3.23e-01      5.05e-03      4.15e-02    3.8e-05
 129500      2.63e-01      1.82e-04      4.23e-02    3.8e-05
 129600      3.35e-01      1.05e-02      5.30e-02    3.8e-05
 129700      2.73e-01      1.23e-03      4.33e-02    3.8e-05
 129800      2.59e-01      1.70e-03      4.04e-02    3.8e-05
 129900      2.80e-01      2.45e-04      4.51e-02    3.8e-05
 130000      2.62e-01      1.00e-03      4.29e-02    3.6e-05
 130100      2.99e-01      3.35e-04      4.93e-02    3.6e-05
 130200      1.35e-01      4.16e-03      2.20e-02    3.6e-05
 130300      2.75e-01      3.33e-04      4.54e-02    3.6e-05
 130400      2.81e-01      3.07e-04      4.63e-02    3.6e-05
 130500      3.10e-01      2.69e-04      5.12e-02    3.6e-05
 130600      3.45e-01      6.15e-04      5.69e-02    3.6e-05
 130700      2.56e-01      6.60e-04      4.20e-02    3.6e-05
 130800      2.68e-01      1.27e-04      4.42e-02    3.6e-05
 130900      2.37e-01      9.10e-04      3.88e-02    3.6e-05
 131000      2.46e-01      2.21e-04      4.07e-02    3.6e-05
 131100      2.61e-01      1.76e-03      4.17e-02    3.6e-05
 131200      2.47e-01      9.32e-04      4.03e-02    3.6e-05
 131300      2.25e-01      6.90e-05      3.71e-02    3.6e-05
 131400      2.64e-01      5.68e-04      4.36e-02    3.6e-05
 131500      2.57e-01      2.22e-04      4.24e-02    3.6e-05
 131600      2.89e-01      3.39e-04      4.78e-02    3.6e-05
 131700      3.19e-01      7.29e-04      5.25e-02    3.6e-05
 131800      2.46e-01      1.31e-04      4.06e-02    3.6e-05
 131900      2.58e-01      1.21e-03      4.20e-02    3.6e-05
 132000      2.58e-01      3.98e-04      4.36e-02    3.4e-05
 132100      2.22e-01      2.28e-04      3.77e-02    3.4e-05
 132200      2.39e-01      6.39e-04      4.03e-02    3.4e-05
 132300      2.52e-01      4.04e-04      4.27e-02    3.4e-05
 132400      2.42e-01      5.82e-04      4.08e-02    3.4e-05
 132500      2.98e-01      3.74e-03      4.41e-02    3.4e-05
 132600      2.56e-01      5.64e-04      4.31e-02    3.4e-05
 132700      3.13e-01      1.17e-03      5.25e-02    3.4e-05
 132800      2.45e-01      2.62e-04      4.14e-02    3.4e-05
 132900      2.90e-01      4.17e-03      4.39e-02    3.4e-05
 133000      3.01e-01      5.04e-04      5.08e-02    3.4e-05
 133100      2.38e-01      3.15e-04      4.02e-02    3.4e-05
 133200      2.15e-01      2.13e-04      3.65e-02    3.4e-05
 133300      2.83e-01      1.44e-03      4.70e-02    3.4e-05
 133400      2.38e-01      5.48e-04      4.02e-02    3.4e-05
 133500      2.51e-01      1.93e-04      4.25e-02    3.4e-05
 133600      2.43e-01      1.25e-03      4.04e-02    3.4e-05
 133700      2.34e-01      3.98e-04      3.96e-02    3.4e-05
 133800      2.35e-01      1.46e-04      3.99e-02    3.4e-05
 133900      1.74e-01      1.39e-03      2.94e-02    3.4e-05
 134000      2.45e-01      1.08e-03      4.19e-02    3.2e-05
 134100      2.05e-01      4.14e-04      3.54e-02    3.2e-05
 134200      2.74e-01      1.18e-04      4.76e-02    3.2e-05
 134300      2.30e-01      8.31e-04      3.96e-02    3.2e-05
 134400      2.74e-01      8.86e-04      4.73e-02    3.2e-05
 134500      1.81e-01      3.55e-03      3.12e-02    3.2e-05
 134600      2.55e-01      2.07e-04      4.43e-02    3.2e-05
 134700      2.47e-01      3.81e-04      4.29e-02    3.2e-05
 134800      2.28e-01      5.13e-04      3.94e-02    3.2e-05
 134900      2.32e-01      1.15e-03      3.99e-02    3.2e-05
 135000      3.00e-01      3.41e-04      5.21e-02    3.2e-05
 135100      2.28e-01      3.49e-04      3.95e-02    3.2e-05
 135200      2.66e-01      7.94e-04      4.59e-02    3.2e-05
 135300      2.67e-01      2.23e-03      4.38e-02    3.2e-05
 135400      2.22e-01      3.23e-04      3.85e-02    3.2e-05
 135500      2.71e-01      1.19e-03      4.66e-02    3.2e-05
 135600      2.56e-01      1.39e-05      4.44e-02    3.2e-05
 135700      2.14e-01      5.10e-04      3.69e-02    3.2e-05
 135800      2.40e-01      1.52e-04      4.16e-02    3.2e-05
 135900      3.05e-01      1.54e-03      5.20e-02    3.2e-05
 136000      2.39e-01      1.10e-03      4.22e-02    3.1e-05
 136100      2.20e-01      1.29e-03      3.82e-02    3.1e-05
 136200      2.72e-01      3.90e-04      4.84e-02    3.1e-05
 136300      2.64e-01      4.24e-04      4.70e-02    3.1e-05
 136400      2.28e-01      3.41e-04      4.06e-02    3.1e-05
 136500      2.34e-01      5.36e-04      4.15e-02    3.1e-05
 136600      2.50e-01      1.33e-03      4.35e-02    3.1e-05
 136700      2.71e-01      3.68e-03      4.10e-02    3.1e-05
 136800      2.61e-01      1.02e-03      4.59e-02    3.1e-05
 136900      2.31e-01      2.18e-04      4.10e-02    3.1e-05
 137000      2.77e-01      2.04e-04      4.93e-02    3.1e-05
 137100      2.51e-01      1.18e-03      4.41e-02    3.1e-05
 137200      2.12e-01      9.12e-04      3.73e-02    3.1e-05
 137300      2.34e-01      1.29e-04      4.17e-02    3.1e-05
 137400      1.75e-01      6.79e-03      3.03e-02    3.1e-05
 137500      2.07e-01      1.99e-04      3.69e-02    3.1e-05
 137600      2.75e-01      7.94e-04      4.86e-02    3.1e-05
 137700      2.22e-01      3.48e-04      3.94e-02    3.1e-05
 137800      2.55e-01      7.18e-04      4.51e-02    3.1e-05
 137900      2.62e-01      1.28e-03      4.58e-02    3.1e-05
 138000      2.67e-01      1.10e-03      4.82e-02    2.9e-05
 138100      2.77e-01      2.54e-03      4.73e-02    2.9e-05
 138200      2.29e-01      1.34e-04      4.17e-02    2.9e-05
 138300      2.11e-01      1.18e-04      3.86e-02    2.9e-05
 138400      2.10e-01      4.52e-04      3.81e-02    2.9e-05
 138500      2.07e-01      6.85e-04      3.74e-02    2.9e-05
 138600      2.29e-01      2.19e-04      4.18e-02    2.9e-05
 138700      2.25e-01      8.28e-05      4.11e-02    2.9e-05
 138800      2.50e-01      1.11e-03      4.53e-02    2.9e-05
 138900      2.49e-01      5.11e-04      4.54e-02    2.9e-05
 139000      2.20e-01      2.43e-04      4.01e-02    2.9e-05
 139100      2.57e-01      3.50e-04      4.68e-02    2.9e-05
 139200      2.81e-01      1.08e-03      5.07e-02    2.9e-05
