#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
   9900      2.22e+00      2.53e-03      7.76e-02    8.1e-04
  10000      1.56e+00      6.56e-03      5.61e-02    7.7e-04
  10100      2.04e+00      2.53e-03      7.32e-02    7.7e-04
  10200      1.60e+00      1.35e-02      5.68e-02    7.7e-04
  10300      1.10e+01      1.26e-01      3.96e-01    7.7e-04
  10400      1.01e+01      5.65e-02      3.63e-01    7.7e-04
  10500      2.14e+00      7.33e-03      7.68e-02    7.7e-04
  10600      2.24e+00      4.24e-03      8.04e-02    7.7e-04
  10700      2.05e+00      7.54e-03      7.34e-02    7.7e-04
  10800      1.63e+00      8.43e-03      5.84e-02    7.7e-04
  10900      2.40e+00      2.37e-03      8.61e-02    7.7e-04
  11000      2.00e+00      1.75e-02      7.12e-02    7.7e-04
  11100      2.41e+00      2.95e-02      8.43e-02    7.7e-04
  11200      2.35e+00      1.23e-04      8.44e-02    7.7e-04
  11300      1.88e+00      5.85e-03      6.73e-02    7.7e-04
  11400      1.79e+00      3.15e-03      6.43e-02    7.7e-04
  11500      1.88e+00      1.07e-02      6.72e-02    7.7e-04
  11600      1.98e+00      6.45e-03      7.10e-02    7.7e-04
  11700      1.61e+00      2.32e-03      5.79e-02    7.7e-04
  11800      1.73e+00      1.01e-02      6.20e-02    7.7e-04
  11900      4.87e+00      7.94e-03      1.75e-01    7.7e-04
  12000      2.73e+00      2.68e-03      1.01e-01    7.4e-04
  12100      1.15e+01      3.92e-02      4.25e-01    7.4e-04
  12200      1.89e+00      8.93e-04      6.98e-02    7.4e-04
  12300      2.29e+00      1.20e-02      8.38e-02    7.4e-04
  12400      1.72e+00      3.19e-02      5.86e-02    7.4e-04
  12500      3.34e+00      1.80e-02      1.22e-01    7.4e-04
  12600      1.68e+00      2.19e-02      6.05e-02    7.4e-04
  12700      8.24e+00      3.99e-02      3.04e-01    7.4e-04
  12800      2.38e+00      1.26e-02      8.71e-02    7.4e-04
  12900      1.82e+00      2.21e-03      6.71e-02    7.4e-04
  13000      1.69e+00      1.51e-02      6.17e-02    7.4e-04
  13100      1.97e+00      3.03e-03      7.25e-02    7.4e-04
  13200      1.75e+00      3.99e-03      6.45e-02    7.4e-04
  13300      1.37e+00      3.22e-03      5.04e-02    7.4e-04
  13400      1.47e+00      6.73e-04      5.43e-02    7.4e-04
  13500      1.59e+00      1.18e-02      5.79e-02    7.4e-04
  13600      1.90e+00      1.28e-04      7.02e-02    7.4e-04
  13700      2.47e+00      6.94e-03      9.11e-02    7.4e-04
  13800      2.10e+00      4.17e-03      7.74e-02    7.4e-04
  13900      1.46e+00      2.84e-03      5.36e-02    7.4e-04
  14000      3.39e+00      4.97e-02      1.28e-01    7.0e-04
  14100      1.69e+00      3.84e-03      6.38e-02    7.0e-04
